field,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,rcid
303,65.36446,-17.05,0.04,212.7177,-40.1204,59.6521,-37.9294,64
304,72.44639000000001,-17.05,0.08,215.873,-33.8354,68.1664,-39.1681,64
305,79.52832,-17.05,0.07,218.8512,-27.567,76.8868,-40.0138,64
306,86.61025,-17.05,0.11,221.75,-21.3312,85.7405,-40.4392,64
307,93.69218000000001,-17.05,0.18,224.6452,-15.1437,94.6391,-40.4299,64
308,100.77411,-17.05,0.48,227.6018,-9.0209,103.4889,-39.9861,64
309,107.85604,-17.05,1.12,230.6802,-2.9817,112.2019,-39.123,64
310,114.91235,-17.05,0.13,233.9298,2.9306,120.6757,-37.8735,64
311,121.94304,-17.05,0.08,237.4136,8.6904,128.8629,-36.2791,64
312,128.97374,-17.05,0.07,241.2152,14.2859,136.7684,-34.3791,64
313,136.00443,-17.05,0.05,245.4169,19.6751,144.3864,-32.2196,64
314,143.03513,-17.05,0.06,250.1122,24.8043,151.7282,-29.8474,64
315,150.06583,-17.05,0.06,255.4049,29.6049,158.817,-27.3084,64
316,157.09652,-17.05,0.06,261.4018,33.9903,165.6841,-24.6462,64
317,164.12722,-17.05,0.04,268.1979,37.8541,172.3649,-21.9022,64
318,171.15791000000002,-17.05,0.09,275.8472,41.0711,178.8964,-19.1151,64
319,178.18861,-17.05,0.04,284.3216,43.5058,185.3154,-16.3218,64
320,185.2193,-17.05,0.05,293.469,45.0302,191.6571,-13.5572,64
321,192.25,-17.05,0.04,303.0,45.55,197.9544,-10.8548,64
322,199.2807,-17.05,0.08,312.531,45.0302,204.2369,-8.2469,64
323,206.31139,-17.05,0.08,321.6784,43.5058,210.5307,-5.7649,64
324,213.34208999999998,-17.05,0.08,330.1528,41.0711,216.8577,-3.4391,64
325,220.37277999999998,-17.05,0.12,337.8021,37.8541,223.2351,-1.2992,64
326,227.40347999999997,-17.05,0.09,344.5982,33.9903,229.675,0.6267,64
327,234.43417000000002,-17.05,0.12,350.5951,29.6049,236.184,2.3118,64
328,241.46487000000002,-17.05,0.21,355.8878,24.8043,242.763,3.7318,64
329,248.49557000000001,-17.05,0.44,0.5831,19.6751,249.4069,4.8651,64
330,255.52626,-17.05,0.28,4.7848,14.2859,256.1054,5.6939,64
331,262.55696,-17.05,0.24,8.5864,8.6904,262.8437,6.2046,64
332,269.58765,-17.05,0.65,12.0702,2.9306,269.6033,6.3887,64
333,276.64396,-17.05,1.3,15.3198,-2.9817,276.3888,6.2421,64
